DOY,Pile,lbs_five_gallon_bucket,grams/cm^3
158,C,6.25,0.15
158,E,9.6,0.23
159,C,12.7,0.304
159,E,10.05,0.241
173,C,8.933333333,0.214
173,E,9,0.216
186,C,9.05,0.217
186,E,10.1,0.242
194,E,9,0.216
194,C,12.5,0.3
208,C,13,0.312
208,E,15.75,0.377
222,C,13,0.312
222,E,14.5,0.347
234,C,15,0.359
234,E,15.5,0.371
249,C,15,0.359
249,E,14.25,0.342
262,E,21.5,0.515
262,C,17.75,0.425
276,E,23.75,0.569
276,C,16.75,0.401
290,E,20.25,0.485
290,C,17.25,0.413
